№ поста,№ п/п старый,№ п/п пред ОП,№ п/п новый,№ п/п пред ОП,№ п/п след ОП,Пост,Номер операции,Номер предшеств.,Номер послед.,Наименование операции,Чертеж,Трудоемкость,Кол-во человек,Время,Бригада,Место проведения работ,Резерв операции
2,30,51,72,88,73,2,72,88,73,Наклеивание уплотнения,6ТС.020.410,"0,7",1,"0,7",Т/Б,в куз,
2,31,30,73,72,74,2,73,72,74,Установка ВИП 2,6ТС.020.410,"1,45",2,"0,725",Т/Б,в куз,
2,32,31,74,73,95,2,74,73,95,Установка ВИП 1,6ТС.020.410,"1,45",2,"0,725",Т/Б,в куз,
2,33,29,75,71,,2,75,71,,Установка МВ-311 в ВВК2,6ТС.020.410,"3,4",2,"1,7",Т/Б,в куз,
2,39,0,76,0,78,2,76,0,78,Установка зажимов контактных в ВВК1,6ТС.020.509,1,1,1,Т/Б,в куз,
2,40,0,77,0,79,2,77,0,79,Установка зажимов контактных в торце,6ТС.020.419,1,1,1,Т/Б,в куз,
2,41,39,78,76,80,2,78,76,80,Установка антенно-согласующего устройства,6ТС.032.587,4,1,4,Т/Б,в куз,
2,42,40,79,77,83,2,79,77,83,Установка освещения (плафоны по коридору),6ТС.020.415,4,1,4,Т/Б,в куз,
2,43,41,80,78,81,2,80,78,81,Установка оборудования системы пожаротушения в ВВК,6ТС.020.750-01,"0,9",1,"0,9",Т/Б,в куз,
2,44,43,81,80,82,2,81,80,82,Установка аппаратов системы пожаротушения в ВВК,6ТС.020.750-01,"0,9",1,"0,9",Т/Б,в куз,
2,45,44,82,81,87,2,82,81,87,Установка аппаратов системы пожаротушения по проходному коридору,6ТС.020.415,"0,9",1,"0,9",Т/Б,в куз,
2,46,42,83,79,84,2,83,79,84,Установка аппаратов системы пожаротушения в торце,6ТС.020.419,"0,9",1,"0,9",Т/Б,в куз,
2,47,46,84,83,85,2,84,83,85,Установка аппаратов системы пожаротушения под кузовом,6ТС.020.514,"0,9",1,"0,9",Т/Б,под куз,
2,48,47,85,84,,2,85,84,,Установка оборудования системы пожаротушения и освещения на крышках,6ТС.020.415,"0,9",1,"0,9",Т/Б,вне поста,
2,49,,86,,,2,86,,,Монтаж проводов системы пожаротушения и освещения на крышках,5ТС.512.086-02,11,1,11,К/Ш,вне поста,
2,50,"45,48",87,"82,85",88,2,87,"82,85",88,"Установка аппаратов КЛУБ, САУТ (по кузову)",6ТС.020.411,6,2,3,Т/Б,в куз,
2,51,50,88,87,72,2,88,87,72,Установка МСУД и ШП21,6ТС.020.509,3,2,"1,5",Т/Б,в куз,
2,57,6,89,48,90,2,89,48,90,Прокладка проводов к блоку2,5ТС.512.086-02,"0,7",1,"0,7",К/Ш,в куз,
2,58,57,90,89,96,2,90,89,96,Включение блока2,5ТС.512.086-02,"0,7",1,"0,7",К/Ш,в куз,
2,59,6,91,48,92,2,91,48,92,Прокладка проводов к блоку1 силовой,5ТС.512.086-02,"0,7",1,"0,7",М/Р,в куз,
2,60,59,92,91,100,2,92,91,100,Включение блока1 силовой,5ТС.512.086-02,"0,7",1,"0,7",М/Р,в куз,
2,61,6,93,48,"94, 66",2,93,48,"94, 66",Прокладка проводов к блоку1 н/в,5ТС.512.086-02,"0,7",1,"0,7",К/Ш,в куз,
2,62,61,94,93,97,2,94,93,97,Включение блока1 н/в,5ТС.512.086-02,"0,7",1,"0,7",К/Ш,в куз,
2,63,32,95,74,,2,95,74,,Установка блока управления и коммутации (блок питания кондиционера),6ТС.020.900,2,1,2,Т/Б,в куз,
2,64,58,96,90,98,2,96,90,98,Прокладка проводов по глухой стенке в ВВК1 н/в,5ТС.512.086-02,"2,5",1,"2,5",К/Ш,в куз,
2,65,62,97,94,99,2,97,94,99,Прокладка проводов по глухой стенке в ср.части н/в,5ТС.512.086-02,"2,5",1,"2,5",К/Ш,в куз,
2,66,64,98,96,108,2,98,96,108,Прокладка проводов по глухой стенке в ВВК2 н/в,5ТС.512.086-02,"1,7",1,"1,7",К/Ш,в куз,
2,67,65,99,97,110,2,99,97,110,Прокладка проводов по глухой стенке в торце н/в,5ТС.512.086-02,"1,7",1,"1,7",К/Ш,в куз,
2,68,60,100,92,109,2,100,92,109,Прокладка проводов по глухой стенке в/в,5ТС.512.086-02,"1,7",1,"1,7",М/Р,в куз,
2,69,"17,22",101,"59,64",102,2,101,"59,64",102,Установка разного оборудования в ВВК1,6ТС.020.415,"3,3",2,"1,65",Т/Б,в куз,
2,70,69,102,101,103,2,102,101,103,Установка разного оборудования в ср.части,6ТС.020.415,"3,3",2,"1,65",Т/Б,в куз,
2,71,70,103,102,,2,103,102,,Установка разного оборудования в ВВК2,6ТС.020.415,"3,3",2,"1,65",Т/Б,в куз,
2,72,0,104,0,,2,104,0,,Установка оборудования под кузовом (ящики АБ),6ТС.020.421,"0,7",2,"0,35",Т/Б,под куз,
2,73,0,105,0,106,2,105,0,106,"Установка оборудования под кузовом (РЗ-Б, светильники)",6ТС.020.514,"0,5",1,"0,5",КАЧАЕВ,под куз,
2,74,73,106,105,107,2,106,105,107,Установка путеочистителя,6ТС.031.040-01,1,2,"0,5",КАЧАЕВ,под куз,
2,75,74,107,106,,2,107,106,,"Установка катушек из к-та КЛУБ, САУТ к путеочистителю",6ТС.020.514,"0,3",1,"0,3",КАЧАЕВ,под куз,
2,80,66,108,98,,2,108,98,,Монтаж к ВУВ н/в,5ТС.512.086-02,"1,3",1,"1,3",К/Ш,в куз,
2,81,68,109,100,,2,109,100,,Монтаж к ВУВ в/в,5ТС.512.086-02,"0,7",1,"0,7",М/Р,в куз,
2,82,67,110,99,,2,110,99,,"Монтаж проводов к панелям А65, А66",5ТС.512.086-02,"1,2",1,"1,2",К/Ш,в куз,
2,83,6,111,48,,2,111,48,,Демонтаж монтажных люлек,5ТС.512.086-02,"0,6",1,"0,6",Т/Б,в куз,
3,1,72,112,182,169,3,112,182,169,Установка Блока4 (БСА),6ТС.020.509,"1,2",1,"1,2",Т/Б,в куз,
3,2,0,113,0,119,3,113,0,119,Монтаж к блоку 9 н/в,5ТС.512.086-02,"5,3",1,"5,3",К/Ш,в куз,
3,3,5,114,116,115,3,114,116,115,Монтаж к блоку 9 в/в,5ТС.512.086-02,4,1,4,М/Р,в куз,
3,4,3,115,114,120,3,115,114,120,Монтаж к пусковому двигателю в/в,5ТС.512.086-02,4,1,4,М/Р,в куз,
3,5,0,116,0,114,3,116,0,114,Монтаж к блоку 8 в/в,5ТС.512.086-02,"4,3",1,"4,3",М/Р,в куз,
3,6,0,117,0,,3,117,0,119,Монтаж к блоку 8 н/в,5ТС.512.086-02,"5,3",1,"5,3",К/Ш,в куз,
3,7,0,118,0,121,3,118,0,121,Монтаж к блоку 7 н/в,5ТС.512.086-02,"5,3",1,"5,3",К/Ш,в куз,
3,8,"2,6",119,"113,117",140,3,119,"113,117",140,Прокладка проводов в компрессорном помещении н/в,5ТС.512.086-02,"5,2",2,"2,6",К/Ш,в куз,
3,9,4,120,115,130,3,120,115,130,Прокладка силовых проводов в компрессорном помещении,5ТС.512.086-02,"1,7",1,"1,7",М/Р,в куз,
3,10,7,121,118,129,3,121,118,129,"Н/в монтаж светового табло, МАГов, извещателя",5ТС.512.086-02,"4,8",1,"4,8",К/Ш,в куз,
3,11,0,122,0,124,3,122,0,124,Монтаж освещения по проходному коридору 1 конец н/в,5ТС.512.086-02,"3,2",1,"3,2",К/Ш,в куз,
3,12,0,123,0,125,3,123,0,125,Монтаж освещения по проходному коридору 2 конец н/в,5ТС.512.086-02,"3,2",1,"3,2",К/Ш,в куз,
3,13,11,124,122,144,3,124,122,144,Раскладка проводов к клапанам токоприемника и песочниц 1 конец н/в,5ТС.512.086-02,3,1,3,К/Ш,в куз,
3,14,12,125,123,127,3,125,123,127,Раскладка проводов к клапанам песочницы 2 конец н/в,5ТС.512.086-02,2,1,2,К/Ш,в куз,
3,15,0,126,0,"137,168",3,126,0,"137,168",Прокладка штепсельных соединений к Блоку А91 (силовой),5ТС.512.086-02,"1,1",1,"1,1",М/Р,в куз,
3,16,14,127,125,128,3,127,125,128,Разделка проводов к зажимам контактным Х102-104,5ТС.512.086-02,"1,25",1,"1,25",К/Ш,в куз,
3,17,16,128,127,156,3,128,127,156,Включение проводов к зажимам контактным Х102-104,5ТС.512.086-02,"1,25",1,"1,25",К/Ш,в куз,
3,18,10,129,121,138,3,129,121,138,Разделка и подключение проводов к зажиму контактному Х116 н/в,5ТС.512.086-02,"0,5",1,"0,5",К/Ш,в куз,
3,19,9,130,120,,3,130,120,,Разделка и подключение проводов к зажиму контактному Х116 и подключение кабелей межсекционного соединения силовой,5ТС.512.086-02,"1,1",1,"1,1",М/Р,в куз,
3,20,0,131,0,132,3,131,0,132,Разделка проводов к зажимам контактным МЭС Х87-Х95 (с н/в пучка),5ТС.512.086-02,"3,25",1,"3,25",К/Ш,в куз,
3,21,20,132,131,133,3,132,131,133,Включение проводов к зажимам контактным МЭС Х87-Х95 (с н/в пучка),5ТС.512.086-02,3,1,3,К/Ш,в куз,
3,22,21,133,132,134,3,133,132,134,Разделка проводов к зажимам контактным МЭС Х87-Х95 (от розеток МЭС),5ТС.512.086-02,"3,1",1,"3,1",К/Ш,в куз,
3,23,22,134,133,142,3,134,133,142,Включение проводов к зажимам контактным МЭС Х87-Х95 (от розеток МЭС),5ТС.512.086-02,"3,3",1,"3,3",К/Ш,в куз,
3,24,0,135,0,136,3,135,0,136,Разделка проводов к зажимам контактным на поперечной стенке кабины,5ТС.512.086-02,"11,3",2,"5,65",ПАН,в куз,
3,25,24,136,135,161,3,136,135,161,Включение проводов к зажимам контактным на поперечной стенке кабины,5ТС.512.086-02,"10,8",2,"5,4",ПАН,в куз,
3,26,15,137,126,143,3,137,126,143,Разделка проводов к клапанам обогрева силовой,5ТС.512.086-02,"2,8",1,"2,8",М/Р,в куз,
3,27,18,138,129,139,3,138,129,139,Разделка SA6,5ТС.512.086-02,"1,2",1,"1,2",К/Ш,в куз,
3,28,27,139,138,159,3,139,138,159,Включение SA6,5ТС.512.086-02,"2,8",1,"2,8",К/Ш,в куз,
3,29,8,140,119,141,3,140,119,141,Разделка БПО,5ТС.512.086-02,"1,2",1,"1,2",К/Ш,в куз,
3,30,29,141,140,167,3,141,140,167,Включение БПО,5ТС.512.086-02,"2,5",1,"2,5",К/Ш,в куз,
3,31,23,142,134,,3,142,134,,Разделка и включение розеток питания в торце,5ТС.512.086-02,"3,2",1,"3,2",К/Ш,в куз,
3,32,26,143,137,147,3,143,137,147,Раскладка и включение силовых проводов к трансформатору (+штепсельное соединение),5ТС.512.086-02,"1,2",1,"1,2",М/Р,в куз,
3,33,13,144,124,145,3,144,124,145,Раскладка проводов к трансформатору 1 конец н/в (+штепсельное соединение),5ТС.512.086-02,"3,8",1,"3,8",К/Ш,в куз,
3,34,33,145,144,162,3,145,144,162,Включение проводов к трансформатору 1 конец н/в,5ТС.512.086-02,"2,2",1,"2,2",К/Ш,в куз,
3,35,69,146,179,165,3,146,179,165,Включение проводов по глухой стенке к панелям и блокам н/в,5ТС.512.086-02,"2,3",1,"2,3",К/Ш,в куз,
3,36,32,147,143,148,3,147,143,148,Включение проводов по глухой стенке к панелям и блокам силовой,5ТС.512.086-02,"1,7",1,"1,7",М/Р,в куз,
3,37,36,148,147,150,3,148,147,150,Прокладка и включение кабелей из комплекта кондиционера к блоку БПК,5ТС.512.086-02,"1,5",1,"1,5",М/Р,в куз,
3,38,8,149,119,,3,149,119,,Монтаж к БСА (Блок 6) н/в,5ТС.512.086-02,"5,5",1,"5,5",К/Ш,в куз,
3,39,37,150,148,152,3,150,148,152,Монтаж к БСА (Блок 6) силовой,5ТС.512.086-02,"2,1",1,"2,1",М/Р,в куз,
3,40,69,151,179,153,3,151,179,153,Монтаж к ШП-21 н/в,5ТС.512.086-02,"2,1",1,"2,1",К/Ш,в куз,
3,41,39,152,150,154,3,152,150,154,Монтаж к ШП-21 силовой,5ТС.512.086-02,"1,5",1,"1,5",М/Р,в куз,
3,42,40,153,151,,3,153,151,,"Монтаж к БСА (блок 4) (Раскладка, разделка и включение) н/в",5ТС.512.086-02,"5,5",1,"5,5",К/Ш,в куз,
3,43,41,154,152,164,3,154,152,164,"Монтаж к БСА (блок 4) (Раскладка, разделка и включение) силовой",5ТС.512.086-02,"2,1",1,"2,1",М/Р,в куз,
3,44,58,155,168,157,3,155,168,157,Монтаж к блоку питания ВИП 1 силовой ,5ТС.512.086-02,"1,5",1,"1,5",М/Р,в куз,
3,45,17,156,128,158,3,156,128,158,Монтаж проводов к ВИП 1 н/в,5ТС.512.086-02,"1,7",1,"1,7",К/Ш,в куз,
3,46,44,157,155,160,3,157,155,160,Монтаж к блоку питания ВИП 2 силовой,5ТС.512.086-02,"1,5",1,"1,5",М/Р,в куз,
3,47,45,158,156,,3,158,156,162,Монтаж проводов к ВИП 2 н/в,5ТС.512.086-02,"1,7",1,"1,7",К/Ш,в куз,
3,48,"67,28",159,"177,139",,3,159,"177,139",,Монтаж к панели А72 на Блоке 4 н/в,5ТС.512.086-02,1,1,1,К/Ш,в куз,
3,49,46,160,157,,3,160,157,,Монтаж к панели А72 на Блоке 4 силовой,5ТС.512.086-02,"0,12",1,"0,12",М/Р,в куз,
3,50,25,161,136,,3,161,136,,Раскладка и подключение проводов на поперечной стенке кабины (продолжение),5ТС.512.086-02,"1,5",1,"1,5",ПАН,в куз,
3,51,"34,47",162,"145,158",163,3,162,"145,158",163,"Прокладка проводов к SA3, SA5",5ТС.512.086-02,2,2,1,К/Ш,в куз,
3,52,51,163,162,,3,163,162,,"Разделка и подключение проводов SA3, SA5",5ТС.512.086-02,"1,5",2,"0,75",К/Ш,в куз,
3,53,43,164,154,,3,164,154,,Включение земляных проводов от кабелей,5ТС.512.086-02,"1,8",1,"1,8",М/Р,в куз,
3,54,35,165,146,,3,165,146,,"Разделка и включение проводов к панелям U80, U81 н/в",5ТС.512.086-02,"2,5",1,"2,5",К/Ш,в куз,
3,56,46,166,157,,3,166,157,,Установка БПО,6ТС.049.351-02,"2,4",2,"1,2",ПНЕВМ,в куз,
3,57,"59, 30",167,"169,141",,3,167,"169,141",,Установка БМК,6ТС.020.544-01,3,2,"1,5",Т/Б,в куз,
3,58,15,168,126,155,3,168,126,155,Монтаж проводов к торцевому токосъему,6ТС.050.071,"3,5",1,"3,5",М/Р,под куз,
3,59,1,169,112,,3,169,112,167,Установка батареи аккумуляторной,6ТС.020.421,"2,2",2,"1,1",Т/Б,под куз,
2,60,0,170,0,171,2,170,0,171,Установка МВ-311 в ВВК1,6ТС.020.410,"3,4",2,"1,7",Т/Б,в куз,
2,61,60,171,170,172,2,171,170,172,Установка патрубка 5ТЛ.458.012 в ВВК2,6ТС.020.410,"1,45",2,"0,725",Т/Б,в куз,
2,62,61,172,171,"173,174",2,172,171,"173,174",Установка патрубка 5ТЛ.458.012 в ВВК1,6ТС.020.410,"1,45",2,"0,725",Т/Б,в куз,
2,63,62,173,172,180,2,173,172,180,"Установка блока питания ВИП и блока диагностики в ВВК2 (А8, А74)",6ТС.020.410,"0,5",1,"0,5",Т/Б,в куз,
2,64,62,174,172,,2,174,172,180,"Установка блока питания ВИП и блока диагностики в ВВК1 (А7, А73)",6ТС.020.410,"0,5",1,"0,5",Т/Б,в куз,
2,65,0,175,0,176,2,175,0,176,Прокладка и крепление ШТЕПСЕЛЬНЫХ СОЕДИНЕНИЙ от МСУД до зажимов контактных Х96-Х100 Н/В,5ТС.512.086-02,"5,3",2,"2,65",К/Ш,в куз,
2,66,65,176,175,177,2,176,175,177,Проведение проводов к зажимам контатктным Х96-Х100 (5ТС.512.086-02),5ТС.512.086-02,"5,3",2,"2,65",К/Ш,в куз,
2,67,66,177,176,,2,177,176,159,"Разделка и подключение проводов к зажимам контактным Х96, Х99 (5ТС.512.086-02)",5ТС.512.086-02,"5,3",2,"2,65",К/Ш,в куз,
2,68,0,178,0,179,2,178,0,179,"Разделка и подключение проводов к зажимам контактным Х97, Х100 (5ТС.512.086)",5ТС.512.086-02,"5,3",2,"2,65",К/Ш,в куз,
2,69,68,179,178,"146,151",2,179,178,"146,151",Разделка и подключение проводов к зажиму контактному Х98 (5ТС.512.086),5ТС.512.086-02,"5,3",2,"2,65",К/Ш,в куз,
2,70,63,180,173,181,2,180,173,181,Подготовка трансформатора,6ТЛ.020.003,1,1,1,Т/Б,пол,
2,71,70,181,180,"182,183",2,181,180,"182,183",Установка трансформатора,6ТЛ.020.003,3,3,1,Т/Б,в куз,
2,72,71,182,181,112,2,182,181,112,Монтаж шин к ВИП и трансформатору 1 конец,6ТС.052.100-01,"1,5",1,"1,5",Т/Б,в куз,
2,73,71,183,181,,2,183,181,112,Монтаж шин к ВИП и трансформатору 2 конец,6ТС.052.101,"1,5",1,"1,5",Т/Б,в куз,
4,1,41,184,224,235,4,184,224,235,Установка окон,5ТС.340.342-02,"2,00",1,"2,00",СТОЛ,в куз,
4,2,0,185,0,186,4,185,0,186,Установка 395 крана,6ТС.049.493,"1,10",1,"1,10",ПНЕВМ,в куз,
4,3,2,186,185,187,4,186,185,187,Монтаж к 395 крану,6ТС.049.493,"1,03",1,"1,03",ПНЕВМ,в куз,
4,4,3,187,186,188,4,187,186,188,Установка 254 крана,6ТС.049.493,"1,00",1,"1,00",ПНЕВМ,в куз,
4,5,4,188,187,189,4,188,187,189,Монтаж к 254 крану,6ТС.049.493,"1,00",1,"1,00",ПНЕВМ,в куз,
4,6,5,189,188,190,4,189,188,190,Установка датчиков системы КЛУБ,6ТС.049.493,"1,25",1,"1,25",ПНЕВМ,в куз,
